"Hot Spots - Class";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"java.io.FilePermission";"0.0";"0.0 ms";"0.0 ms";"294.261 ms";"294.261 ms";"34"
"sun.net.www.protocol.jar.JarURLConnection";"0.0";"0.0 ms";"0.0 ms";"294.261 ms";"294.261 ms";"34"
"sun.rmi.transport.Transport$1";"0.0";"0.0 ms";"0.0 ms";"24231.533 ms";"24231.533 ms";"32"
"java.io.FilePermission$1";"0.0";"0.0 ms";"0.0 ms";"275.663 ms";"275.663 ms";"32"
"java.io.BufferedInputStream";"0.0";"0.0 ms";"0.0 ms";"46956.271 ms";"46956.271 ms";"32"
"org.apache.fop.layoutmgr.StaticContentLayoutManager";"0.0";"0.0 ms";"0.0 ms";"660.164 ms";"660.164 ms";"31"
"com.sun.jmx.mbeanserver.MXBeanIntrospector";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"30"
"com.sun.jmx.mbeanserver.ConvertingMethod";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"30"
"java.net.URLClassLoader";"0.0";"0.0 ms";"0.0 ms";"394.562 ms";"394.562 ms";"27"
"org.apache.fop.layoutmgr.table.TableLayoutManager";"0.0";"0.0 ms";"0.0 ms";"656.11 ms";"656.11 ms";"27"
"org.apache.fop.cli.CommandLineOptions";"0.0";"0.0 ms";"0.0 ms";"435.689 ms";"435.689 ms";"25"
"org.apache.fop.fo.properties.IndentPropertyMaker";"0.0";"0.0 ms";"0.0 ms";"157.713 ms";"157.713 ms";"24"
"org.apache.fop.fo.ElementMapping";"0.0";"0.0 ms";"0.0 ms";"396.607 ms";"396.607 ms";"23"
"org.apache.xerces.impl.XMLEntityManager$RewindableInputStream";"0.0";"0.0 ms";"0.0 ms";"426.258 ms";"426.258 ms";"23"
"org.apache.fop.fo.flow.Inline";"0.0";"0.0 ms";"0.0 ms";"421.399 ms";"421.399 ms";"20"
"org.apache.fop.layoutmgr.table.TableCellLayoutManager";"0.0";"0.0 ms";"0.0 ms";"462.442 ms";"462.442 ms";"20"
"sun.rmi.server.UnicastServerRef";"0.0";"0.0 ms";"0.0 ms";"24231.533 ms";"24231.533 ms";"20"
"javax.xml.parsers.SAXParserFactory";"0.0";"0.0 ms";"0.0 ms";"333.673 ms";"333.673 ms";"19"
"javax.xml.parsers.SecuritySupport";"0.0";"0.0 ms";"0.0 ms";"313.201 ms";"313.201 ms";"18"
"javax.xml.parsers.SecuritySupport$4";"0.0";"0.0 ms";"0.0 ms";"313.201 ms";"313.201 ms";"18"
"sun.net.www.protocol.file.FileURLConnection";"0.0";"0.0 ms";"0.0 ms";"294.261 ms";"294.261 ms";"17"
"java.io.FilterInputStream";"0.0";"0.0 ms";"0.0 ms";"46956.271 ms";"46956.271 ms";"16"
"sun.rmi.transport.Transport";"0.0";"0.0 ms";"0.0 ms";"24231.533 ms";"24231.533 ms";"16"
"javax.management.StandardMBean";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"15"
"com.sun.jmx.mbeanserver.MBeanSupport";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"15"
"com.sun.jmx.mbeanserver.PerInterface";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"15"
"com.sun.jmx.mbeanserver.MBeanIntrospector";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"15"
"sun.reflect.misc.MethodUtil";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"15"
"sun.reflect.GeneratedMethodAccessor2";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"15"
"sun.reflect.misc.Trampoline";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"15"
"org.apache.xmlgraphics.ps.PSResource";"0.0";"0.0 ms";"0.0 ms";"147.145 ms";"147.145 ms";"15"
"org.apache.xerces.parsers.ObjectFactory";"0.0";"0.0 ms";"0.0 ms";"104.61 ms";"104.61 ms";"15"
"sun.reflect.GeneratedMethodAccessor35";"0.0";"0.0 ms";"0.0 ms";"23897.313 ms";"23897.313 ms";"15"
"sun.reflect.GeneratedMethodAccessor34";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"15"
"javax.management.remote.rmi.RMIConnectionImpl$PrivilegedOperation";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"15"
"com.sun.jmx.mbeanserver.JmxMBeanServer";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"15"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor";"0.0";"0.0 ms";"0.0 ms";"24189.002 ms";"24189.002 ms";"15"
"org.apache.commons.logging.impl.Jdk14Logger";"0.0";"0.0 ms";"0.0 ms";"174.073 ms";"174.073 ms";"14"
"org.apache.fop.fo.flow.InlineLevel";"0.0";"0.0 ms";"0.0 ms";"236.748 ms";"236.748 ms";"12"
"org.apache.xerces.parsers.SAXParser";"0.0";"0.0 ms";"0.0 ms";"104.61 ms";"104.61 ms";"12"
"org.apache.fop.fo.properties.EnumProperty";"0.0";"0.0 ms";"0.0 ms";"221.816 ms";"221.816 ms";"11"
"org.apache.fop.fo.properties.CommonHyphenation";"0.0";"0.0 ms";"0.0 ms";"191.058 ms";"191.058 ms";"10"
"org.apache.commons.logging.LogFactory$1";"0.0";"0.0 ms";"0.0 ms";"199.477 ms";"199.477 ms";"10"
"org.apache.fop.fo.extensions.svg.BatikExtensionElementMapping";"0.0";"0.0 ms";"0.0 ms";"83.384 ms";"83.384 ms";"10"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler";"0.0";"0.0 ms";"0.0 ms";"71187.804 ms";"71187.804 ms";"9"
"org.apache.fop.layoutmgr.table.RowPainter";"0.0";"0.0 ms";"0.0 ms";"60.72 ms";"60.72 ms";"9"
"org.apache.fop.layoutmgr.BlockLayoutManager$ProxyLMiter";"0.0";"0.0 ms";"0.0 ms";"63.998 ms";"63.998 ms";"8"
"org.apache.fop.layoutmgr.LMiter";"0.0";"0.0 ms";"0.0 ms";"140.789 ms";"140.789 ms";"8"
"org.apache.fop.fo.properties.KeepProperty$Maker";"0.0";"0.0 ms";"0.0 ms";"166.797 ms";"166.797 ms";"8"
"org.apache.xerces.jaxp.SAXParserImpl";"0.0";"0.0 ms";"0.0 ms";"104.61 ms";"104.61 ms";"8"
"org.apache.fop.layoutmgr.inline.PageNumberLayoutManager";"0.0";"0.0 ms";"0.0 ms";"133.133 ms";"133.133 ms";"8"
"org.apache.fop.area.inline.TextArea";"0.0";"0.0 ms";"0.0 ms";"134.256 ms";"134.256 ms";"7"
